Feature,Importance
Previous_Area,0.2827048477319865
Usual_Area,0.25116801192657945
Last_Latitude,0.2153280614332325
Average_Distance,0.05393476771970221
Last_Longitude,0.05342071373988337
Average_Speed,0.042071481345048005
Hour,0.01800829704151014
Time_Since_Last_Seen,0.012602093956246362
Day_Wednesday,0.011371779701432631
Weather_Cloudy,0.009516582484148344
Age_Group_46-60,0.007791619360371848
Day_Sunday,0.006521542975598844
Day_Tuesday,0.006139008089643493
Day_Thursday,0.0057054655110904086
Weather_Rain,0.004841328944767859
Day_Saturday,0.004159440391591618
Day_Friday,0.003550098036937489
Age_Group_26-35,0.0033354703453602214
Age_Group_36-45,0.0031038711924603617
Weather_Clear,0.002416465932193506
Day_Monday,0.0020448764850024156
Age_Group_18-25,0.0002641756552123448
