Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-2026-001,P001,36-45,Male,39.980525,116.44944,2008-10-12 08:38:24,Sunday,Rain,9,0.0035786936737586,6.441648612765558,9,3,9
MP-2026-002,P002,46-60,Male,39.9683216,116.4212533,2009-06-04 06:21:42,Thursday,Clear,9,0.0109337132913156,39.36136784873626,9,2,9
MP-2026-003,P003,36-45,Not Specified,40.024186497,116.435574506,2011-12-26 08:38:20,Monday,Rain,9,0.0006125754117015,2.205271482125537,9,3,9
MP-2026-004,P004,46-60,Male,37.9149016,112.14727,2009-01-27 05:59:54,Tuesday,Rain,6,0.0399146101154329,35.923149103889614,6,8,6
MP-2026-005,P005,18-25,Female,39.981445,116.326191,2009-09-18 19:17:36,Friday,Cloudy,9,0.0009487726375367,1.7077907475661964,9,8,9
MP-2026-006,P006,26-35,Male,39.987196,116.449288,2010-10-29 11:44:21,Friday,Clear,9,0.0008519976013439,0.6134382729676207,9,4,9
MP-2026-007,P007,26-35,Female,39.9862433,116.2990366,2009-04-19 02:48:23,Sunday,Clear,9,0.0005784676809105,1.0412418256389837,9,4,9
MP-2026-008,P008,18-25,Male,39.9411033333333,116.3481,2011-09-11 01:17:55,Sunday,Rain,1,0.0005683671211628,2.0461216361862262,1,3,1
MP-2026-009,P009,36-45,Female,39.976543,116.300201,2009-04-12 01:57:05,Sunday,Rain,9,0.0023022401998386,1.6576129438838234,9,8,9
MP-2026-010,P010,26-35,Not Specified,39.973043,116.327746,2009-01-22 06:49:01,Thursday,Cloudy,9,0.0002407112161786,0.8665603782433196,9,3,9
MP-2026-011,P011,46-60,Not Specified,39.927071,116.471023,2009-10-29 10:33:13,Thursday,Clear,1,0.0012830429010184,0.9237908887332908,1,3,1
MP-2026-012,P012,18-25,Not Specified,39.99079,116.1780499,2010-01-09 06:27:32,Saturday,Rain,9,0.0007076903833534,1.2738426900361526,9,6,9
MP-2026-013,P013,18-25,Not Specified,40.0870683,116.095305,2009-06-19 11:14:44,Friday,Cloudy,9,0.0110683500480963,19.923030086573508,9,4,9
MP-2026-014,P014,18-25,Female,39.966335,116.333649,2009-07-18 00:09:00,Saturday,Cloudy,9,0.0110788938554499,39.884017879619826,9,2,9
MP-2026-015,P015,18-25,Female,40.000032,116.326499,2009-01-14 07:59:54,Wednesday,Clear,9,0.003919849499024,7.055729098243231,9,2,9
MP-2026-016,P016,46-60,Not Specified,39.793602,116.261038,2009-03-03 22:42:36,Tuesday,Rain,1,0.0340683851709353,24.52923732307345,1,4,1
